sigma,realization,noise_seed,accuracy,loss
0.0,0,2026,0.9219858156028369,0.18987287718353543
0.05,0,12026,0.7907801418439716,0.45918879673836077
0.05,1,12027,0.7872340425531915,0.4590901275898548
0.05,2,12028,0.7907801418439716,0.45867335183400637
0.05,3,12029,0.7872340425531915,0.459697037512529
0.05,4,12030,0.7943262411347518,0.4561733159613102
0.1,0,22026,0.5070921985815603,2.524890144666036
0.1,1,22027,0.5070921985815603,2.521663190625238
0.1,2,22028,0.5070921985815603,2.522179642467634
0.1,3,22029,0.5070921985815603,2.5229321785852417
0.1,4,22030,0.5106382978723404,2.5177656175396965
0.15,0,32026,0.5035460992907801,5.36356890117023
0.15,1,32027,0.5035460992907801,5.370826913955364
0.15,2,32028,0.5035460992907801,5.358310026479951
0.15,3,32029,0.5035460992907801,5.364225076445451
0.15,4,32030,0.5035460992907801,5.380861517385388
0.2,0,42026,0.5035460992907801,7.7109667088123075
0.2,1,42027,0.5035460992907801,7.7141732222645
0.2,2,42028,0.5035460992907801,7.711192800643596
0.2,3,42029,0.5035460992907801,7.694886058780319
0.2,4,42030,0.5035460992907801,7.708529797006161
0.3,0,52026,0.5035460992907801,11.519368506492452
0.3,1,52027,0.5035460992907801,11.508971200767139
0.3,2,52028,0.5035460992907801,11.498599525884533
0.3,3,52029,0.5035460992907801,11.528350627168695
0.3,4,52030,0.5035460992907801,11.526296409309333
0.5,0,62026,0.5035460992907801,16.499373814738387
0.5,1,62027,0.5035460992907801,16.513629703657003
0.5,2,62028,0.5035460992907801,16.500538514860978
0.5,3,62029,0.5035460992907801,16.497933705647785
0.5,4,62030,0.5035460992907801,16.51883604847793
